,edad,clase_trabajo,peso_final,educacion,num_educacion,estado_civil,ocupacion,relacion,raza,ganancia_capital,perdida_capital,horas_por_semana,pais,sexo,salario
80,52,4,276515,10,13,3,8,1,5,0,0,40,5,True,False
81,46,4,51618,12,9,3,8,6,5,0,0,40,39,False,False
82,59,4,159937,12,9,3,12,1,5,0,0,48,39,True,False
83,44,4,343591,12,9,1,3,2,5,14344,0,40,39,False,True
84,53,4,346253,12,9,1,12,4,5,0,0,35,39,False,False
85,49,2,268234,12,9,3,11,1,5,0,0,40,39,True,True
86,33,4,202051,13,14,3,10,1,5,0,0,50,39,True,False
87,30,4,54334,7,5,5,12,2,5,0,0,40,39,True,False
88,43,1,410867,11,16,5,10,2,5,0,0,50,39,False,True
89,57,4,249977,9,11,3,10,1,5,0,0,40,39,True,False
90,37,4,286730,16,10,1,3,5,5,0,0,40,39,False,False
91,28,4,212563,16,10,1,7,5,3,0,0,25,39,False,False
92,30,4,117747,12,9,3,12,6,2,0,1573,35,39,False,False
93,34,2,226296,10,13,3,11,1,5,0,0,40,39,True,True
94,29,2,115585,16,10,5,6,2,5,0,0,50,39,True,False
95,48,6,191277,11,16,3,10,1,5,0,1902,60,39,True,True
96,37,4,202683,16,10,3,12,1,5,0,0,48,39,True,True
97,48,4,171095,8,12,1,4,5,5,0,0,40,9,False,False
98,32,1,249409,12,9,5,8,4,3,0,0,40,39,True,False
99,76,4,124191,13,14,3,4,1,5,0,0,40,39,True,True
100,44,4,198282,10,13,3,4,1,5,15024,0,60,39,True,True
101,47,6,149116,13,14,5,10,2,5,0,0,50,39,False,False
102,20,4,188300,16,10,5,13,4,5,0,0,40,39,False,False
103,29,4,103432,12,9,5,3,2,5,0,0,40,39,True,False
104,32,5,317660,12,9,3,3,1,5,7688,0,40,39,True,True
105,17,4,304873,1,6,5,8,4,5,34095,0,32,39,False,False
106,30,4,194901,2,7,5,6,4,5,0,0,40,39,True,False
107,31,2,189265,12,9,5,1,2,5,0,0,40,39,False,False
108,42,4,124692,12,9,3,6,1,5,0,0,40,39,True,False
109,24,4,432376,10,13,5,12,3,5,0,0,40,39,True,False
110,38,4,65324,15,15,3,10,1,5,0,0,40,39,True,True
111,56,6,335605,12,9,3,8,1,5,0,1887,50,2,True,True
112,28,4,377869,16,10,3,12,6,5,4064,0,25,39,False,False
113,36,4,102864,12,9,5,7,4,5,0,0,40,39,False,False
114,53,4,95647,7,5,3,6,1,5,0,0,50,39,True,False
115,56,5,303090,16,10,3,12,1,5,0,0,50,39,True,False
116,49,2,197371,9,11,3,3,1,3,0,0,40,39,True,True
117,55,4,247552,16,10,3,12,1,5,0,0,56,39,True,False
118,22,4,102632,12,9,5,3,2,5,0,0,41,39,True,False
119,21,4,199915,16,10,5,8,4,5,0,0,40,39,False,False
120,40,4,118853,10,13,3,4,1,5,0,0,60,39,True,False
121,30,4,77143,10,13,5,4,4,3,0,0,40,11,True,False
122,29,7,267989,10,13,3,10,1,5,0,0,50,39,True,True
123,19,4,301606,16,10,5,8,4,3,0,0,35,39,True,False
124,47,4,287828,10,13,3,4,6,5,0,0,40,39,False,True
125,20,4,111697,16,10,5,1,4,5,0,1719,28,39,False,False
126,31,4,114937,8,12,3,1,1,5,0,0,40,39,True,True
127,35,4,129305,12,9,3,3,1,5,0,0,40,39,True,False
128,39,4,365739,16,10,1,3,2,5,0,0,40,39,True,False
129,28,4,69621,8,12,5,12,2,5,0,0,60,39,False,False
130,24,4,43323,12,9,5,8,2,5,0,1762,40,39,False,False
131,38,6,120985,12,9,3,3,1,5,4386,0,35,39,True,False
132,37,4,254202,10,13,3,12,1,5,0,0,50,39,True,False
133,46,4,146195,8,12,1,13,2,3,0,0,36,39,False,False
134,38,1,125933,13,14,3,10,1,5,0,0,40,20,True,True
135,43,6,56920,12,9,3,3,1,5,0,0,60,39,True,False
136,27,4,163127,9,11,3,1,6,5,0,0,35,39,False,False
137,20,4,34310,16,10,5,12,4,5,0,0,20,39,True,False
138,49,4,81973,16,10,3,3,1,2,0,0,40,39,True,True
139,61,5,66614,12,9,3,3,1,5,0,0,40,39,True,False
140,27,4,232782,16,10,5,12,4,5,0,0,40,39,False,False
141,19,4,316868,16,10,5,8,4,5,0,0,30,26,True,False
142,45,4,196584,9,11,5,10,2,5,0,1564,40,39,False,True
143,70,4,105376,16,10,5,13,3,5,0,0,40,39,True,False
144,31,4,185814,12,9,5,14,5,3,0,0,30,39,False,False
145,22,4,175374,16,10,3,8,1,5,0,0,24,39,True,False
146,36,4,108293,12,9,7,8,5,5,0,0,24,39,False,False
147,64,4,181232,2,7,3,3,1,5,0,2179,40,39,True,False
148,43,4,174662,16,10,1,1,2,5,0,0,40,39,False,False
149,47,2,186009,16,10,1,1,5,5,0,0,38,26,False,False
150,34,4,198183,12,9,5,1,2,5,0,0,40,39,False,False
151,33,4,163003,10,13,5,4,3,2,0,0,40,30,False,False
152,21,4,296158,12,9,5,3,4,5,0,0,35,39,True,False
153,52,4,252903,12,9,1,3,2,5,0,0,45,39,True,True
154,48,4,187715,12,9,3,3,1,5,0,0,46,39,True,False
155,23,4,214542,10,13,5,6,2,5,0,0,40,39,True,False
156,71,6,494223,16,10,6,12,5,3,0,1816,2,39,True,False
157,29,4,191535,12,9,1,3,2,5,0,0,60,39,True,False
158,42,4,228456,10,13,6,8,3,3,0,0,50,39,True,False
159,68,4,38317,4,2,1,8,2,5,0,0,20,39,False,False
160,25,4,252752,12,9,5,8,5,5,0,0,40,39,False,False
161,44,5,78374,13,14,1,4,5,2,0,0,40,39,False,False
162,28,4,88419,12,9,5,4,2,2,0,0,40,9,False,False
163,45,6,201080,13,14,3,12,1,5,0,0,40,39,True,True
164,36,4,207157,16,10,1,8,5,5,0,0,40,26,False,False
165,39,1,235485,8,12,5,4,2,5,0,0,42,39,True,False
166,46,7,102628,13,14,7,11,5,5,0,0,40,39,True,False
167,18,4,25828,2,7,5,6,4,5,0,0,16,39,True,False
168,66,2,54826,9,11,7,10,2,5,0,0,20,39,False,False
169,27,4,124953,12,9,5,8,2,5,0,1980,40,39,True,False
170,28,7,175325,12,9,3,11,1,5,0,0,40,39,True,False
171,51,4,96062,16,10,3,12,1,5,0,1977,40,39,True,True
172,27,4,428030,10,13,5,3,2,5,0,0,50,39,True,False
173,28,7,149624,10,13,3,10,1,5,0,0,40,39,True,True
174,27,4,253814,12,9,4,12,5,5,0,0,25,39,False,False
175,21,4,312956,12,9,5,3,4,3,0,0,40,39,True,False
176,34,4,483777,12,9,5,6,2,3,0,0,40,39,True,False
177,18,4,183930,12,9,5,8,4,5,0,0,12,39,True,False
178,33,4,37274,10,13,3,10,1,5,0,0,65,39,True,False
179,44,2,181344,16,10,3,4,1,3,0,0,38,39,True,True
180,43,4,114580,16,10,1,1,2,5,0,0,40,39,False,False
181,30,4,633742,16,10,5,3,2,3,0,0,45,39,True,False
182,40,4,286370,6,4,3,7,1,5,0,0,40,26,True,True
183,37,1,29054,16,10,3,1,1,5,0,0,42,39,True,True
184,34,4,304030,12,9,3,1,1,3,0,0,40,39,True,False
185,41,6,143129,10,13,1,4,2,5,0,0,40,39,False,False
186,53,4,135105,10,13,1,10,2,5,0,0,50,39,False,False
187,31,4,99928,13,14,3,10,6,5,0,0,50,39,False,False
188,58,7,109567,11,16,3,10,1,5,0,0,1,39,True,True
189,38,4,155222,16,10,1,7,2,3,0,0,28,39,False,False
190,24,4,159567,16,10,3,7,1,5,0,0,40,39,True,False
191,41,2,523910,10,13,3,3,1,3,0,0,40,39,True,False
192,47,4,120939,16,10,3,13,1,5,0,0,45,39,True,False
193,41,1,130760,10,13,3,13,1,5,0,0,24,39,True,False
194,23,4,197387,5,3,3,14,3,5,0,0,40,26,True,False
195,36,4,99374,16,10,1,3,2,5,0,0,40,39,True,False
196,40,1,56795,13,14,5,4,2,5,14084,0,55,39,False,True
197,35,4,138992,13,14,3,10,3,5,7298,0,40,39,True,True
198,24,6,32921,12,9,5,12,2,5,0,0,40,39,True,False
199,26,4,397317,13,14,5,10,2,5,0,1876,40,39,False,False
200,19,4,170653,12,9,5,3,4,5,0,0,40,22,True,False
201,51,4,259323,10,13,3,4,1,5,0,0,50,39,True,True
202,42,2,254817,16,10,5,10,2,5,0,1340,40,39,False,False
203,37,7,48211,12,9,1,1,5,5,0,0,35,39,False,False
204,18,4,140164,2,7,5,12,4,5,0,0,40,39,False,False
205,36,4,128757,10,13,3,8,1,3,7298,0,36,39,True,True
206,35,4,36270,12,9,1,3,2,5,0,0,60,39,True,False
207,58,5,210563,12,9,3,12,6,5,15024,0,35,39,False,True
208,17,4,65368,2,7,5,12,4,5,0,0,12,39,False,False
209,44,2,160943,12,9,3,14,1,3,0,0,40,39,True,False
210,37,4,208358,12,9,3,3,1,5,0,0,40,39,True,True
211,35,4,153790,16,10,5,12,2,1,0,0,40,39,False,False
212,60,4,85815,12,9,3,3,1,2,0,0,40,39,True,False
213,54,5,125417,6,4,3,7,1,5,0,0,40,39,True,True
214,37,4,635913,10,13,5,4,2,3,0,0,60,39,True,True
215,50,4,313321,8,12,1,12,2,5,0,0,40,39,False,False
216,38,4,182609,10,13,3,12,1,5,0,0,50,31,True,False
217,45,4,109434,10,13,3,10,1,5,0,0,55,39,True,False
218,25,4,255004,1,6,5,3,2,5,0,0,40,39,True,False
219,31,4,197860,16,10,3,6,1,5,0,0,40,39,True,False
220,64,4,187656,4,2,1,8,2,5,0,0,40,39,True,False
221,90,4,51744,12,9,5,8,2,3,0,2206,40,39,True,False
222,54,4,176681,12,9,3,1,1,3,0,0,20,39,True,False
223,53,2,140359,14,1,5,7,2,5,0,0,35,39,False,False
224,18,4,243313,12,9,5,12,4,5,0,0,40,39,False,False
225,60,4,24215,1,6,1,8,2,1,0,0,10,39,False,False
226,66,6,167687,12,9,3,5,1,5,1409,0,50,39,True,False
227,75,4,314209,9,11,7,1,2,5,0,0,20,4,False,False
228,65,4,176796,12,9,1,1,2,5,0,0,40,39,False,False
229,35,4,538583,2,7,6,14,2,3,3674,0,40,39,True,False
230,41,4,130408,12,9,1,12,5,3,0,0,38,39,False,False
231,25,4,159732,16,10,5,1,2,5,0,0,42,39,True,False
232,33,4,110978,16,10,1,3,3,4,0,0,40,39,False,False
233,28,4,76714,15,15,5,10,2,5,0,0,55,39,True,True
234,59,7,268700,12,9,3,8,1,5,0,0,40,39,True,False
235,40,7,170525,16,10,5,1,2,5,0,0,38,39,False,False
236,41,4,180138,10,13,3,4,1,5,0,0,50,20,True,True
237,38,2,115076,13,14,3,4,1,5,0,0,70,39,True,True
238,23,4,115458,12,9,5,14,4,5,0,0,40,39,True,False
239,40,4,347890,10,13,3,10,1,5,0,0,40,39,True,True
240,41,6,196001,12,9,3,8,6,5,0,0,20,39,False,False
241,24,7,273905,8,12,3,11,1,5,0,0,50,39,True,False
242,20,4,119156,16,10,5,1,4,5,0,0,20,39,True,False
243,38,4,179488,16,10,1,3,2,5,0,1741,40,39,True,False
244,56,4,203580,12,9,3,1,1,5,0,0,35,39,True,False
245,58,4,236596,12,9,3,1,1,5,0,0,45,39,True,True
246,32,4,183916,12,9,5,8,2,5,0,0,34,39,False,False
247,40,4,207578,8,12,3,13,1,5,0,1977,60,39,True,True
248,45,4,153141,12,9,3,1,1,5,0,0,40,39,True,False
249,41,4,112763,15,15,3,10,6,5,0,0,40,39,False,True
250,42,4,390781,10,13,3,1,6,3,0,0,40,39,False,False
251,59,2,171328,1,6,7,8,5,3,0,0,30,39,False,False
252,19,2,27382,16,10,5,1,4,5,0,0,40,39,True,False
253,58,4,259014,16,10,5,14,2,5,0,0,20,39,True,False
254,42,6,303044,12,9,3,5,1,2,0,0,40,1,True,True
255,20,4,117789,12,9,5,8,4,5,0,0,40,39,False,False
256,32,4,172579,12,9,6,8,2,5,0,0,30,39,False,False
257,45,4,187666,9,11,7,4,2,5,0,0,45,39,False,False
258,50,4,204518,6,4,1,3,2,5,0,0,40,39,True,False
259,36,4,150042,10,13,1,10,4,5,0,0,40,39,False,False
260,45,4,98092,12,9,3,12,1,5,0,0,60,39,True,False
261,17,4,245918,2,7,5,8,4,5,0,0,12,39,True,False
262,59,4,146013,16,10,3,12,1,5,4064,0,40,39,True,False
263,26,4,378322,2,7,3,3,1,5,0,0,40,39,True,False
264,37,5,257295,16,10,3,4,1,2,0,0,75,37,True,True
265,19,4,218956,16,10,5,1,4,5,0,0,24,2,True,False
266,64,4,21174,12,9,3,4,1,5,0,0,40,39,True,True
267,33,4,185480,10,13,5,10,2,5,0,0,45,39,False,False
268,33,4,222205,12,9,3,3,6,5,0,0,40,39,False,True
269,61,4,69867,12,9,3,4,1,5,0,0,40,39,True,True
270,17,4,191260,7,5,5,8,4,5,1055,0,24,39,True,False
271,50,6,30653,13,14,3,5,1,5,2407,0,98,39,True,False
272,27,2,209109,13,14,5,10,4,5,0,0,35,39,True,False
273,30,4,70377,12,9,1,10,4,5,0,0,40,39,False,False
274,43,4,477983,12,9,3,6,1,3,0,0,40,39,True,False
275,44,4,170924,16,10,3,3,1,5,7298,0,40,39,True,True
276,35,4,190174,16,10,5,4,2,5,0,0,40,39,False,False
277,25,4,193787,16,10,5,13,4,5,0,0,40,39,False,False
278,24,4,279472,16,10,3,7,6,5,7298,0,48,39,False,True
279,22,4,34918,10,13,5,10,2,5,0,0,15,11,False,False
280,42,2,97688,16,10,3,3,1,5,5178,0,40,39,True,True
281,34,4,175413,8,12,1,12,5,3,0,0,45,39,False,False
282,60,4,173960,10,13,1,10,2,5,0,0,42,39,False,False
283,21,4,205759,12,9,5,6,4,5,0,0,40,39,True,False
284,57,1,425161,13,14,3,12,1,5,15024,0,40,39,True,True
285,41,4,220531,15,15,3,10,1,5,0,0,60,39,True,True
286,50,4,176609,16,10,1,8,2,5,0,0,45,39,True,False
287,25,4,371987,10,13,5,4,2,5,0,0,40,39,False,False
288,50,4,193884,6,4,3,3,1,5,0,0,40,7,True,False
289,36,4,200352,10,13,3,10,1,5,0,0,45,39,True,False
290,31,4,127595,12,9,1,10,2,5,0,0,40,39,False,False
291,29,2,220419,10,13,5,11,2,5,0,0,56,39,True,False
292,21,4,231931,16,10,5,12,4,5,0,0,45,39,True,False
293,27,4,248402,10,13,5,13,5,3,0,0,40,39,False,False
294,65,4,111095,12,9,3,14,1,5,0,0,16,39,True,False
295,37,5,57424,10,13,1,12,2,5,0,0,60,39,False,False
296,39,4,157443,13,14,3,10,6,2,3464,0,40,39,False,False
297,24,4,278130,12,9,5,3,4,5,0,0,40,39,True,False
298,38,4,169469,12,9,1,12,2,5,0,0,80,39,True,False
299,48,4,146268,10,13,3,1,1,5,7688,0,40,39,True,True
300,21,4,153718,16,10,5,8,2,2,0,0,25,39,False,False
301,31,4,217460,12,9,3,14,1,5,0,0,45,39,True,True
302,55,4,238638,12,9,3,12,1,5,4386,0,40,39,True,True
303,24,4,303296,16,10,3,1,6,2,0,0,40,25,False,False
304,43,4,173321,12,9,1,1,2,5,0,0,40,39,False,False
305,26,4,193945,8,12,5,13,2,5,0,0,45,39,True,False
306,46,4,83082,8,12,5,10,2,5,0,0,33,39,False,False
307,35,4,193815,8,12,3,1,1,5,0,0,40,39,True,True
308,41,5,34987,16,10,3,5,1,5,0,0,54,39,True,True
309,26,4,59306,10,13,5,12,2,5,0,0,40,39,True,False
310,34,4,142897,13,14,3,4,1,2,7298,0,35,36,True,True
311,19,4,860348,16,10,5,1,4,3,0,0,25,39,False,False
312,36,6,205607,10,13,1,10,2,3,0,0,40,39,False,True
313,22,4,199698,16,10,5,12,4,5,0,0,15,39,True,False
314,24,4,191954,16,10,5,7,2,5,0,0,40,39,True,False
315,77,6,138714,16,10,3,12,1,5,0,0,40,39,True,False
316,22,4,399087,5,3,3,7,3,5,0,0,40,26,False,False
317,29,4,423158,16,10,5,13,2,5,0,0,40,39,False,False
318,62,4,159841,12,9,7,8,2,5,0,0,24,39,False,False
319,39,6,174308,12,9,3,4,1,5,0,0,40,39,True,False
320,43,4,50356,16,10,3,3,1,5,0,1485,50,39,True,False
321,35,4,186110,12,9,1,14,2,5,0,0,45,39,True,False
322,29,4,200381,2,7,5,4,2,5,0,0,40,39,False,False
323,76,6,174309,13,14,3,3,1,5,0,0,10,39,True,False
324,63,6,78383,12,9,3,5,1,5,0,0,45,39,True,False
325,23,4,211601,9,11,5,3,4,3,0,0,15,39,False,False
326,43,4,187728,16,10,3,10,6,5,0,1887,50,39,False,True
327,58,6,321171,12,9,3,6,1,5,0,0,40,39,True,False
328,66,4,127921,12,9,5,14,2,5,2050,0,55,39,True,False
329,41,4,206565,16,10,5,3,2,3,0,0,45,39,True,False
330,26,4,224563,10,13,5,1,2,5,0,0,40,39,True,False
331,47,4,178686,9,11,5,8,2,5,0,0,40,39,True,False
332,55,2,98545,1,6,3,1,1,5,0,0,40,39,True,False
333,53,4,242606,12,9,3,14,1,5,0,0,40,39,True,False
334,17,4,270942,5,3,5,8,3,5,0,0,48,26,True,False
335,30,4,94235,12,9,5,3,3,5,0,0,40,39,True,False
336,49,4,71195,13,14,5,10,2,5,0,0,60,39,True,False
337,19,4,104112,12,9,5,12,5,3,0,0,30,14,True,False
338,45,4,261192,12,9,3,8,1,3,0,0,40,39,True,False
339,26,4,94936,8,12,5,12,2,5,0,0,40,39,True,False
340,38,4,296478,9,11,3,3,1,5,7298,0,40,39,True,True
341,36,7,119272,12,9,3,11,1,5,7298,0,40,39,True,True
342,33,4,85043,12,9,5,5,2,5,0,0,20,39,True,False
343,22,7,293364,16,10,5,11,4,3,0,0,40,39,False,False
344,43,6,241895,10,13,5,12,2,5,0,0,42,39,True,False
345,67,4,36135,2,7,3,8,1,5,0,0,8,39,True,False
346,30,4,151989,9,11,1,3,5,5,0,0,40,39,False,False
347,56,4,101128,8,12,4,8,2,5,0,0,25,20,True,False
348,31,4,156464,10,13,5,10,4,5,0,0,25,39,True,False
349,33,4,117963,10,13,3,4,1,5,0,0,40,39,True,True
350,26,4,192262,12,9,3,8,1,5,0,0,40,39,True,False
351,33,4,111363,10,13,3,4,1,5,0,0,40,39,True,True
352,46,2,329752,2,7,3,14,1,5,0,0,30,39,True,False
353,59,4,372020,10,13,3,10,1,5,0,0,40,39,True,True
354,38,1,95432,12,9,3,1,1,5,0,0,40,39,True,True
355,65,4,161400,2,7,7,8,5,4,0,0,40,39,True,False
356,40,4,96129,9,11,3,13,1,5,0,0,40,39,True,True
357,42,4,111949,12,9,3,1,6,5,0,0,35,39,False,False
358,26,6,117125,7,5,3,3,1,5,0,0,40,32,True,False
359,36,4,348022,1,6,3,8,6,5,0,0,24,39,False,False
360,62,4,270092,13,14,3,10,1,5,0,0,40,39,True,True
361,43,4,180609,10,13,3,14,1,5,0,0,45,39,True,False
362,43,4,174575,10,13,1,4,2,5,0,1564,45,39,True,True
363,22,4,410439,12,9,4,12,2,5,0,0,55,39,True,False
364,28,4,92262,12,9,3,3,1,5,0,0,40,39,True,False
365,56,6,183081,16,10,3,12,1,5,0,0,45,39,True,False
366,22,4,362589,8,12,5,12,2,5,0,0,15,39,False,False
367,57,4,212448,10,13,1,4,2,5,0,0,45,39,False,True
368,39,4,481060,12,9,1,12,5,5,0,0,40,39,False,False
369,26,1,185885,16,10,5,1,5,5,0,0,15,39,False,False
370,17,4,89821,2,7,5,8,4,5,0,0,10,39,True,False
371,40,7,184018,9,11,3,7,1,5,0,0,38,39,True,True
372,45,4,256649,12,9,3,7,1,3,0,0,40,39,True,False
373,44,4,160323,12,9,5,3,2,3,0,0,40,39,True,False
374,20,2,350845,16,10,5,1,4,5,0,0,10,39,False,False
375,33,4,267404,12,9,3,3,6,5,0,0,40,39,False,False
376,23,4,35633,16,10,5,12,2,5,0,0,40,39,True,False
377,46,6,80914,13,14,1,4,2,5,0,0,30,39,True,False
378,38,4,172927,12,9,3,12,1,5,0,0,50,39,True,False
379,54,4,174319,12,9,1,14,2,5,0,0,40,39,True,False
380,46,4,214955,5,3,1,3,2,5,0,2339,45,39,False,False
381,25,4,344991,16,10,3,3,1,5,0,0,40,39,True,False
382,46,4,108699,16,10,1,12,2,5,0,0,40,39,False,False
383,36,2,117312,16,10,3,14,6,5,0,0,40,39,False,False
384,23,4,396099,12,9,5,8,2,5,0,0,25,39,False,False
385,29,4,134152,12,9,6,7,2,5,0,0,40,39,True,False
386,44,4,162028,16,10,3,1,6,5,0,2415,6,39,False,True
387,19,4,25429,16,10,5,1,4,5,0,0,16,39,False,False
388,19,4,232392,12,9,5,8,3,5,0,0,40,39,False,False
389,35,4,220098,12,9,3,8,6,5,0,0,40,39,False,True
390,27,4,301302,10,13,5,3,2,5,0,0,50,39,True,False
391,46,6,277946,8,12,6,3,2,5,0,0,40,39,True,False
392,34,7,98101,10,13,3,4,1,5,7688,0,45,39,True,True
393,34,4,196164,12,9,5,8,2,5,0,0,35,39,False,False
394,44,4,115562,16,10,3,13,1,5,0,0,40,39,True,False
395,45,4,96975,16,10,1,6,5,5,0,0,40,39,False,False
396,20,4,137300,12,9,5,3,3,5,0,0,35,39,False,False
397,25,4,86872,10,13,3,4,1,5,0,0,55,39,True,True
398,52,5,132178,10,13,3,4,1,5,0,0,50,39,True,True
399,20,4,416103,16,10,5,6,4,5,0,0,40,39,True,False
400,28,4,108574,16,10,5,8,2,5,0,0,40,39,False,False
401,50,7,288353,10,13,3,11,1,5,0,0,40,39,True,True
402,34,4,227689,9,11,1,13,2,5,0,0,64,39,False,False
403,28,4,166481,6,4,3,6,1,4,0,2179,40,33,True,False
404,41,4,445382,13,14,3,4,1,5,0,1977,65,39,True,True
405,28,4,110145,12,9,3,1,1,5,0,0,40,39,True,False
406,46,6,317253,12,9,3,3,1,5,0,0,25,39,True,False
407,28,4,123147,16,10,3,1,6,5,0,1887,40,39,False,True
408,32,4,364657,16,10,3,4,1,5,0,0,50,39,True,False
409,41,2,42346,16,10,1,8,2,3,0,0,24,39,False,False
410,24,4,241951,12,9,5,6,5,3,0,0,40,39,False,False
411,33,4,118500,16,10,1,4,5,5,0,0,40,39,False,False
412,46,4,188386,11,16,3,4,1,5,15024,0,60,39,True,True
413,31,7,1033222,16,10,3,7,1,5,0,0,40,39,True,False
414,35,4,92440,3,8,1,3,2,5,0,0,50,39,True,True
415,52,4,190762,4,2,3,7,1,5,0,0,40,26,True,False
416,30,4,426017,2,7,5,8,4,5,0,0,19,39,False,False
